G11_shinriki
06.09.2021
19:41:14
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

7,769E-1 2,341E-2 1,291E-1 1,136E+0 -5,915E-2 3,003E+1 2,553E+0
1,816E+0 -1,264E-1 3,661E-1 0,000E+0 0,000E+0 5,646E+3 2,449E-8
1,801E+0 -1,348E-1 3,618E-1 0,000E+0 0,000E+0 5,676E+3 3,793E-8
1,786E+0 -1,428E-1 3,578E-1 0,000E+0 0,000E+0 5,706E+3 4,645E-8
1,771E+0 -1,506E-1 3,536E-1 0,000E+0 0,000E+0 5,736E+3 4,827E-8
1,756E+0 -1,581E-1 3,486E-1 0,000E+0 0,000E+0 5,766E+3 2,342E-8
1,741E+0 -1,655E-1 3,438E-1 0,000E+0 0,000E+0 5,796E+3 1,449E-8
1,725E+0 -1,731E-1 3,391E-1 0,000E+0 0,000E+0 5,826E+3 1,977E-8
1,710E+0 -1,803E-1 3,340E-1 0,000E+0 0,000E+0 5,856E+3 2,670E-8
1,695E+0 -1,871E-1 3,284E-1 0,000E+0 0,000E+0 5,886E+3 2,612E-8
1,680E+0 -1,937E-1 3,233E-1 0,000E+0 0,000E+0 5,916E+3 1,768E-8
1,665E+0 -2,006E-1 3,177E-1 0,000E+0 0,000E+0 5,946E+3 1,884E-8
1,650E+0 -2,067E-1 3,122E-1 0,000E+0 0,000E+0 5,976E+3 6,165E-8
1,635E+0 -2,128E-1 3,065E-1 0,000E+0 0,000E+0 6,006E+3 6,531E-8
1,620E+0 -2,184E-1 3,006E-1 0,000E+0 0,000E+0 6,036E+3 4,297E-8
1,605E+0 -2,245E-1 2,946E-1 0,000E+0 0,000E+0 6,066E+3 4,232E-8
1,590E+0 -2,296E-1 2,885E-1 0,000E+0 0,000E+0 6,096E+3 2,550E-8
1,575E+0 -2,343E-1 2,821E-1 0,000E+0 0,000E+0 6,126E+3 1,388E-8
1,559E+0 -2,394E-1 2,759E-1 0,000E+0 0,000E+0 6,156E+3 7,596E-9
1,545E+0 -2,439E-1 2,695E-1 0,000E+0 0,000E+0 6,186E+3 8,547E-9
1,530E+0 -2,482E-1 2,629E-1 0,000E+0 0,000E+0 6,216E+3 1,102E-8
1,516E+0 -2,523E-1 2,568E-1 0,000E+0 0,000E+0 6,246E+3 1,249E-8
1,501E+0 -2,559E-1 2,504E-1 0,000E+0 0,000E+0 6,276E+3 1,219E-8
1,487E+0 -2,592E-1 2,433E-1 0,000E+0 0,000E+0 6,306E+3 1,689E-8
1,472E+0 -2,621E-1 2,370E-1 0,000E+0 0,000E+0 6,336E+3 6,443E-9
1,458E+0 -2,649E-1 2,306E-1 0,000E+0 0,000E+0 6,366E+3 1,079E-8
1,443E+0 -2,674E-1 2,232E-1 0,000E+0 0,000E+0 6,396E+3 8,805E-9
1,430E+0 -2,696E-1 2,168E-1 0,000E+0 0,000E+0 6,426E+3 5,912E-9
1,415E+0 -2,715E-1 2,102E-1 0,000E+0 0,000E+0 6,456E+3 1,101E-8
1,402E+0 -2,732E-1 2,033E-1 0,000E+0 0,000E+0 6,486E+3 5,945E-9
1,388E+0 -2,745E-1 1,964E-1 0,000E+0 0,000E+0 6,517E+3 5,441E-9
1,375E+0 -2,751E-1 1,895E-1 0,000E+0 0,000E+0 6,547E+3 3,722E-9
1,362E+0 -2,760E-1 1,831E-1 0,000E+0 0,000E+0 6,577E+3 7,540E-9
1,349E+0 -2,761E-1 1,763E-1 0,000E+0 0,000E+0 6,607E+3 4,787E-9
1,337E+0 -2,761E-1 1,694E-1 0,000E+0 0,000E+0 6,637E+3 5,467E-9
1,324E+0 -2,758E-1 1,628E-1 0,000E+0 0,000E+0 6,667E+3 1,345E-8
1,312E+0 -2,751E-1 1,564E-1 0,000E+0 0,000E+0 6,697E+3 9,475E-9
1,300E+0 -2,745E-1 1,498E-1 0,000E+0 0,000E+0 6,727E+3 5,428E-9
1,289E+0 -2,730E-1 1,431E-1 0,000E+0 0,000E+0 6,757E+3 6,479E-9
1,277E+0 -2,715E-1 1,361E-1 0,000E+0 0,000E+0 6,787E+3 5,575E-9
1,266E+0 -2,697E-1 1,301E-1 0,000E+0 0,000E+0 6,817E+3 4,117E-9
1,255E+0 -2,676E-1 1,240E-1 0,000E+0 0,000E+0 6,847E+3 4,602E-9
1,245E+0 -2,653E-1 1,177E-1 0,000E+0 0,000E+0 6,877E+3 4,653E-9
1,234E+0 -2,623E-1 1,111E-1 0,000E+0 0,000E+0 6,907E+3 4,193E-9
1,224E+0 -2,592E-1 1,052E-1 0,000E+0 0,000E+0 6,937E+3 5,469E-9
1,215E+0 -2,556E-1 9,895E-2 0,000E+0 0,000E+0 6,967E+3 2,716E-9
1,205E+0 -2,523E-1 9,352E-2 0,000E+0 0,000E+0 6,997E+3 2,563E-9
1,196E+0 -2,485E-1 8,759E-2 0,000E+0 0,000E+0 7,027E+3 5,042E-9
1,188E+0 -2,442E-1 8,200E-2 0,000E+0 0,000E+0 7,057E+3 2,856E-9
1,180E+0 -2,398E-1 7,624E-2 0,000E+0 0,000E+0 7,087E+3 4,964E-9
1,172E+0 -2,353E-1 7,081E-2 0,000E+0 0,000E+0 7,117E+3 2,968E-9
