G11_pendel
06.09.2021
17:21:54
nichtlineares Pendel
stimulation_fq[Hz]: 0,411
timeline range  for cut and FFT datapoints: 0-120s
Chaos_Versuch

t(s) Ua(V) -dUa/dt(V) cutX(V) cutY(V) F(Hz) DFT-Ua(V) DFT-dUa/dt(V)
8,040E+0 2,548E+0 2,762E-1 0,000E+0 0,000E+0 1,675E+0 NaN NaN
8,080E+0 2,579E+0 2,834E-1 0,000E+0 0,000E+0 1,683E+0 NaN NaN
8,120E+0 2,612E+0 2,771E-1 0,000E+0 0,000E+0 1,692E+0 NaN NaN
8,160E+0 2,643E+0 2,694E-1 0,000E+0 0,000E+0 1,700E+0 NaN NaN
8,200E+0 2,674E+0 2,676E-1 0,000E+0 0,000E+0 1,708E+0 NaN NaN
8,240E+0 2,704E+0 2,520E-1 0,000E+0 0,000E+0 1,717E+0 NaN NaN
8,280E+0 2,732E+0 2,314E-1 0,000E+0 0,000E+0 1,725E+0 NaN NaN
8,320E+0 2,759E+0 2,168E-1 0,000E+0 0,000E+0 1,733E+0 NaN NaN
8,360E+0 2,783E+0 1,928E-1 0,000E+0 0,000E+0 1,742E+0 NaN NaN
8,400E+0 2,805E+0 1,574E-1 0,000E+0 0,000E+0 1,750E+0 NaN NaN
8,440E+0 2,822E+0 1,255E-1 0,000E+0 0,000E+0 1,758E+0 NaN NaN
8,480E+0 2,837E+0 9,358E-2 0,000E+0 0,000E+0 1,767E+0 NaN NaN
8,520E+0 2,847E+0 5,069E-2 0,000E+0 0,000E+0 1,775E+0 NaN NaN
8,560E+0 2,852E+0 3,199E-3 0,000E+0 0,000E+0 1,783E+0 NaN NaN
8,600E+0 2,853E+0 -3,866E-2 0,000E+0 0,000E+0 1,792E+0 NaN NaN
8,640E+0 2,848E+0 -7,815E-2 0,000E+0 0,000E+0 1,800E+0 NaN NaN
8,680E+0 2,839E+0 -1,233E-1 0,000E+0 0,000E+0 1,808E+0 NaN NaN
8,720E+0 2,825E+0 -1,705E-1 0,000E+0 0,000E+0 1,817E+0 NaN NaN
8,760E+0 2,806E+0 -2,091E-1 0,000E+0 0,000E+0 1,825E+0 NaN NaN
8,800E+0 2,783E+0 -2,397E-1 0,000E+0 0,000E+0 1,833E+0 NaN NaN
8,840E+0 2,757E+0 -2,700E-1 0,000E+0 0,000E+0 1,842E+0 NaN NaN
8,880E+0 2,727E+0 -3,007E-1 0,000E+0 0,000E+0 1,850E+0 NaN NaN
8,920E+0 2,694E+0 -3,220E-1 0,000E+0 0,000E+0 1,858E+0 NaN NaN
8,960E+0 2,658E+0 -3,314E-1 0,000E+0 0,000E+0 1,867E+0 NaN NaN
9,000E+0 2,622E+0 -3,376E-1 0,000E+0 0,000E+0 1,875E+0 NaN NaN
9,040E+0 2,585E+0 -3,458E-1 0,000E+0 0,000E+0 1,883E+0 NaN NaN
9,080E+0 2,547E+0 -3,469E-1 0,000E+0 0,000E+0 1,892E+0 NaN NaN
9,120E+0 2,510E+0 -3,364E-1 0,000E+0 0,000E+0 1,900E+0 NaN NaN
9,160E+0 2,473E+0 -3,244E-1 0,000E+0 0,000E+0 1,908E+0 NaN NaN
9,200E+0 2,438E+0 -3,177E-1 0,000E+0 0,000E+0 1,917E+0 NaN NaN
9,240E+0 2,404E+0 -3,057E-1 0,000E+0 0,000E+0 1,925E+0 NaN NaN
9,280E+0 2,371E+0 -2,841E-1 0,000E+0 0,000E+0 1,933E+0 NaN NaN
9,320E+0 2,340E+0 -2,690E-1 0,000E+0 0,000E+0 1,942E+0 NaN NaN
9,360E+0 2,311E+0 -2,590E-1 0,000E+0 0,000E+0 1,950E+0 NaN NaN
9,400E+0 2,282E+0 -2,387E-1 0,000E+0 0,000E+0 1,958E+0 NaN NaN
9,440E+0 2,257E+0 -2,196E-1 0,000E+0 0,000E+0 1,967E+0 NaN NaN
9,480E+0 2,233E+0 -2,116E-1 0,000E+0 0,000E+0 1,975E+0 NaN NaN
9,520E+0 2,210E+0 -1,948E-1 0,000E+0 0,000E+0 1,983E+0 NaN NaN
9,560E+0 2,189E+0 -1,770E-1 0,000E+0 0,000E+0 1,992E+0 NaN NaN
9,600E+0 2,169E+0 -1,718E-1 0,000E+0 0,000E+0 2,000E+0 NaN NaN
9,640E+0 2,150E+0 -1,575E-1 0,000E+0 0,000E+0 2,008E+0 NaN NaN
9,680E+0 2,133E+0 -1,443E-1 0,000E+0 0,000E+0 2,017E+0 NaN NaN
9,720E+0 2,117E+0 -1,425E-1 0,000E+0 0,000E+0 2,025E+0 NaN NaN
9,760E+0 2,101E+0 -1,288E-1 0,000E+0 0,000E+0 2,033E+0 NaN NaN
9,800E+0 2,087E+0 -1,223E-1 0,000E+0 0,000E+0 2,042E+0 NaN NaN
9,840E+0 2,073E+0 -1,211E-1 0,000E+0 0,000E+0 2,050E+0 NaN NaN
9,880E+0 2,060E+0 -1,081E-1 0,000E+0 0,000E+0 2,058E+0 NaN NaN
9,920E+0 2,048E+0 -1,082E-1 0,000E+0 0,000E+0 2,067E+0 NaN NaN
9,960E+0 2,035E+0 -1,037E-1 0,000E+0 0,000E+0 2,075E+0 NaN NaN
1,000E+1 2,024E+0 -9,464E-2 0,000E+0 0,000E+0 2,083E+0 NaN NaN
1,004E+1 2,012E+0 -9,783E-2 0,000E+0 0,000E+0 2,092E+0 NaN NaN
1,008E+1 2,001E+0 -8,896E-2 0,000E+0 0,000E+0 2,100E+0 NaN NaN
1,012E+1 1,991E+0 -8,649E-2 0,000E+0 0,000E+0 2,108E+0 NaN NaN
1,016E+1 1,981E+0 -8,690E-2 0,000E+0 0,000E+0 2,117E+0 NaN NaN
1,020E+1 1,971E+0 -7,683E-2 0,000E+0 0,000E+0 2,125E+0 NaN NaN
1,024E+1 1,962E+0 -7,975E-2 0,000E+0 0,000E+0 2,133E+0 NaN NaN
1,028E+1 1,952E+0 -7,397E-2 0,000E+0 0,000E+0 2,142E+0 NaN NaN
1,032E+1 1,944E+0 -6,803E-2 0,000E+0 0,000E+0 2,150E+0 NaN NaN
1,036E+1 1,936E+0 -7,111E-2 0,000E+0 0,000E+0 2,158E+0 NaN NaN
1,040E+1 1,927E+0 -6,072E-2 0,000E+0 0,000E+0 2,167E+0 NaN NaN
1,044E+1 1,920E+0 -6,151E-2 0,000E+0 0,000E+0 2,175E+0 NaN NaN
1,048E+1 1,913E+0 -5,907E-2 0,000E+0 0,000E+0 2,183E+0 NaN NaN
1,052E+1 1,906E+0 -5,067E-2 0,000E+0 0,000E+0 2,192E+0 NaN NaN
1,056E+1 1,899E+0 -5,484E-2 0,000E+0 0,000E+0 2,200E+0 NaN NaN
