Parameters:
     Ampl. 1=     3983.32
    Lifet. 1=      300.98
     Ampl. 2=    29782.96
    Lifet. 2=       2.943
     Backgr.=     -3475.6
     Backgr.=           0
       Shift=           0

X²: 1.232
tau_amp: 38.1 ns; tau_int: 280.68 ns

Time[ns]	         IRF	       Decay	         Fit	  Resids.
  6.9920	           0	       11746	     11849.7	  -0.9564
  7.0080	           0	       11635	     11787.8	  -1.4162
  7.0240	           0	       11585	     11726.2	  -1.3118
  7.0400	           0	       11518	     11665.0	  -1.3694
  7.0560	           0	       11733	     11604.1	   1.1903
  7.0720	           0	       11386	     11543.5	  -1.4760
  7.0880	           0	       11459	     11483.3	  -0.2265
  7.1040	           0	       11454	     11423.3	   0.2866
  7.1200	           0	       11389	     11363.7	   0.2367
  7.1360	           0	       11136	     11304.5	  -1.5964
  7.1520	           0	       11131	     11245.5	  -1.0854
  7.1680	           0	       10850	     11186.9	  -3.2341
  7.1840	           0	       11093	     11128.6	  -0.3376
  7.2000	           0	       11088	     11070.6	   0.1656
  7.2160	           0	       10933	     11012.9	  -0.7639
  7.2320	           0	       10826	     10955.5	  -1.2445
  7.2480	           0	       10659	     10898.4	  -2.3191
  7.2640	           0	       10734	     10841.7	  -1.0392
  7.2800	           0	       10586	     10785.2	  -1.9362
  7.2960	           0	       10780	     10729.1	   0.4906
  7.3120	           0	       10606	     10673.2	  -0.6527
  7.3280	           0	       10513	     10617.7	  -1.0209
  7.3440	           0	       10405	     10562.4	  -1.5434
  7.3600	           0	       10397	     10507.5	  -1.0836
  7.3760	           0	       10388	     10452.8	  -0.6362
  7.3920	           0	       10285	     10398.5	  -1.1191
  7.4080	           0	       10386	     10344.4	   0.4079
  7.4240	           0	       10131	     10290.7	  -1.5863
  7.4400	           0	       10093	     10237.2	  -1.4352
  7.4560	           0	       10162	     10184.0	  -0.2182
  7.4720	           0	        9962	     10131.1	  -1.6942
  7.4880	           0	       10032	     10078.5	  -0.4641
  7.5040	           0	       10151	     10026.2	   1.2392
  7.5200	           0	        9819	      9974.1	  -1.5653
  7.5360	           0	        9888	      9922.3	  -0.3453
  7.5520	           0	        9753	      9870.8	  -1.1933
  7.5680	           0	        9868	      9819.6	   0.4868
  7.5840	           0	        9867	      9768.7	   0.9895
  7.6000	           0	        9595	      9718.0	  -1.2562
  7.6160	           0	        9672	      9667.7	   0.0441
  7.6320	           0	        9700	      9617.5	   0.8372
  7.6480	           0	        9516	      9567.7	  -0.5301
  7.6640	           0	        9321	      9518.1	  -2.0419
  7.6800	           0	        9550	      9468.8	   0.8306
  7.6960	           0	        9329	      9419.8	  -0.9400
  7.7120	           0	        9222	      9371.0	  -1.5517
  7.7280	           0	        9408	      9322.5	   0.8815
  7.7440	           0	        9331	      9274.3	   0.5875
  7.7600	           0	        9111	      9226.3	  -1.2076
  7.7760	           0	        8927	      9178.5	  -2.6622
  7.7920	           0	        9134	      9131.1	   0.0307
  7.8080	           0	        8897	      9083.8	  -1.9809
  7.8240	           0	        9046	      9036.9	   0.0958
  7.8400	           0	        9110	      8990.2	   1.2554
  7.8560	           0	        8742	      8943.7	  -2.1575
  7.8720	           0	        9016	      8897.5	   1.2478
  7.8880	           0	        8716	      8851.6	  -1.4520
  7.9040	           0	        8670	      8805.8	  -1.4590
  7.9200	           0	        8882	      8760.4	   1.2904
  7.9360	           0	        8628	      8715.2	  -0.9385
  7.9520	           0	        8693	      8670.2	   0.2445
  7.9680	           0	        8460	      8625.5	  -1.7990
  7.9840	           0	        8524	      8581.0	  -0.6172
  8.0000	           0	        8476	      8536.7	  -0.6597
  8.0160	           0	        8533	      8492.7	   0.4360
  8.0320	           0	        8360	      8449.0	  -0.9729
  8.0480	           0	        8335	      8405.4	  -0.7713
  8.0640	           0	        8407	      8362.1	   0.4895
  8.0800	           0	        8471	      8319.1	   1.6509
  8.0960	           0	        8255	      8276.2	  -0.2335
  8.1120	           0	        8275	      8233.6	   0.4549
  8.1280	           0	        8197	      8191.2	   0.0636
  8.1440	           0	        8262	      8149.1	   1.2421
  8.1600	           0	        8100	      8107.2	  -0.0798
  8.1760	           0	        8149	      8065.5	   0.9251
  8.1920	           0	        8006	      8024.0	  -0.2014
  8.2080	           0	        7966	      7982.8	  -0.1880
  8.2240	           0	        8017	      7941.8	   0.8404
  8.2400	           0	        7667	      7901.0	  -2.6719
  8.2560	           0	        7917	      7860.4	   0.6364
  8.2720	           0	        7894	      7820.0	   0.8327
  8.2880	           0	        7803	      7779.9	   0.2618
  8.3040	           0	        7840	      7739.9	   1.1300
  8.3200	           0	        7667	      7700.2	  -0.3796
  8.3360	           0	        7811	      7660.7	   1.7001
  8.3520	           0	        7607	      7621.5	  -0.1658
  8.3680	           0	        7448	      7582.4	  -1.5572
  8.3840	           0	        7376	      7543.5	  -1.9506
  8.4000	           0	        7506	      7504.9	   0.0130
  8.4160	           0	        7620	      7466.4	   1.7592
  8.4320	           0	        7427	      7428.2	  -0.0139
  8.4480	           0	        7383	      7390.2	  -0.0834
  8.4640	           0	        7197	      7352.3	  -1.8311
  8.4800	           0	        7318	      7314.7	   0.0383
  8.4960	           0	        7402	      7277.3	   1.4494
  8.5120	           0	        7221	      7240.1	  -0.2246
  8.5280	           0	        7125	      7203.1	  -0.9249
  8.5440	           0	        7307	      7166.3	   1.6465
  8.5600	           0	        7162	      7129.6	   0.3824
  8.5760	           0	        6989	      7093.2	  -1.2466
  8.5920	           0	        7193	      7057.0	   1.6036
