Parameters:
     Ampl. 1=    22966.16
    Lifet. 1=       3.036
     Backgr.=      238.93
     Backgr.=           0
       Shift=           0

X²: 1.373
tau_amp: 3.04 ns; tau_int: 3.04 ns



Time[ns]	         IRF	       Decay	         Fit	  Resids.
  5.1680	           0	       18651	     18356.5	   2.1563
  5.1840	           0	       18281	     18261.3	   0.1457
  5.2000	           0	       18097	     18166.6	  -0.5172
  5.2160	           0	       18253	     18072.3	   1.3371
  5.2320	           0	       18039	     17978.6	   0.4496
  5.2480	           0	       17891	     17885.4	   0.0420
  5.2640	           0	       18001	     17792.6	   1.5530
  5.2800	           0	       17591	     17700.4	  -0.8246
  5.2960	           0	       17591	     17608.6	  -0.1327
  5.3120	           0	       17789	     17517.3	   2.0371
  5.3280	           0	       17582	     17426.5	   1.1728
  5.3440	           0	       17346	     17336.2	   0.0748
  5.3600	           0	       17359	     17246.3	   0.8554
  5.3760	           0	       17003	     17156.9	  -1.1803
  5.3920	           0	       17140	     17068.0	   0.5501
  5.4080	           0	       17021	     16979.5	   0.3178
  5.4240	           0	       16868	     16891.5	  -0.1813
  5.4400	           0	       16836	     16804.0	   0.2464
  5.4560	           0	       16539	     16717.0	  -1.3838
  5.4720	           0	       16571	     16630.4	  -0.4611
  5.4880	           0	       16533	     16544.2	  -0.0871
  5.5040	           0	       16558	     16458.5	   0.7732
  5.5200	           0	       16457	     16373.3	   0.6528
  5.5360	           0	       16185	     16288.5	  -0.8132
  5.5520	           0	       16039	     16204.1	  -1.3037
  5.5680	           0	       16051	     16120.2	  -0.5461
  5.5840	           0	       16142	     16036.7	   0.8286
  5.6000	           0	       16118	     15953.7	   1.2942
  5.6160	           0	       15953	     15871.1	   0.6485
  5.6320	           0	       15783	     15788.9	  -0.0472
  5.6480	           0	       15334	     15707.2	  -3.0138
  5.6640	           0	       15627	     15625.9	   0.0088
  5.6800	           0	       15430	     15545.0	  -0.9261
  5.6960	           0	       15588	     15464.6	   0.9885
  5.7120	           0	       15484	     15384.6	   0.7991
  5.7280	           0	       15325	     15305.0	   0.1619
  5.7440	           0	       15260	     15225.8	   0.2771
  5.7600	           0	       15309	     15147.0	   1.3093
  5.7760	           0	       14914	     15068.6	  -1.2663
  5.7920	           0	       14848	     14990.7	  -1.1711
  5.8080	           0	       14933	     14913.2	   0.1623
  5.8240	           0	       14881	     14836.0	   0.3685
  5.8400	           0	       14720	     14759.3	  -0.3241
  5.8560	           0	       14723	     14683.0	   0.3296
  5.8720	           0	       14493	     14607.1	  -0.9477
  5.8880	           0	       14511	     14531.6	  -0.1708
  5.9040	           0	       14431	     14456.5	  -0.2119
  5.9200	           0	       14517	     14381.7	   1.1227
  5.9360	           0	       14408	     14307.4	   0.8381
  5.9520	           0	       13988	     14233.5	  -2.0753
  5.9680	           0	       14050	     14159.9	  -0.9272
  5.9840	           0	       13885	     14086.7	  -1.7120
  6.0000	           0	       13766	     14014.0	  -2.1133
  6.0160	           0	       13866	     13941.6	  -0.6416
  6.0320	           0	       13715	     13869.5	  -1.3195
  6.0480	           0	       13635	     13797.9	  -1.3950
  6.0640	           0	       13498	     13726.6	  -1.9678
  6.0800	           0	       13613	     13655.7	  -0.3663
  6.0960	           0	       13679	     13585.2	   0.8018
  6.1120	           0	       13597	     13515.1	   0.7026
  6.1280	           0	       13437	     13445.3	  -0.0716
  6.1440	           0	       13160	     13375.9	  -1.8819
  6.1600	           0	       13268	     13306.8	  -0.3372
  6.1760	           0	       13233	     13238.2	  -0.0448
  6.1920	           0	       13134	     13169.8	  -0.3127
  6.2080	           0	       12963	     13101.9	  -1.2197
  6.2240	           0	       12881	     13034.3	  -1.3504
  6.2400	           0	       12842	     12967.0	  -1.1032
  6.2560	           0	       12895	     12900.1	  -0.0450
  6.2720	           0	       12728	     12833.6	  -0.9357
  6.2880	           0	       12889	     12767.4	   1.0713
  6.3040	           0	       12572	     12701.5	  -1.1552
  6.3200	           0	       12481	     12636.0	  -1.3876
  6.3360	           0	       12411	     12570.9	  -1.4350
  6.3520	           0	       12281	     12506.1	  -2.0308
  6.3680	           0	       12349	     12441.6	  -0.8331
  6.3840	           0	       12476	     12377.4	   0.8824
  6.4000	           0	       12067	     12313.6	  -2.2453
  6.4160	           0	       12073	     12250.2	  -1.6125
  6.4320	           0	       12064	     12187.0	  -1.1203
  6.4480	           0	       12042	     12124.3	  -0.7495
  6.4640	           0	       11941	     12061.8	  -1.1053
  6.4800	           0	       12059	     11999.6	   0.5405
  6.4960	           0	       11852	     11937.8	  -0.7884
  6.5120	           0	       11775	     11876.3	  -0.9339
  6.5280	           0	       11807	     11815.2	  -0.0753
  6.5440	           0	       11559	     11754.3	  -1.8168
  6.5600	           0	       11675	     11693.8	  -0.1741
  6.5760	           0	       11609	     11633.6	  -0.2284
  6.5920	           0	       11297	     11573.7	  -2.6035
  6.6080	           0	       11497	     11514.1	  -0.1599
  6.6240	           0	       11301	     11454.9	  -1.4475
  6.6400	           0	       11411	     11395.9	   0.1411
  6.6560	           0	       11385	     11337.3	   0.4471
  6.6720	           0	       11172	     11279.0	  -1.0120
  6.6880	           0	       11218	     11220.9	  -0.0277
  6.7040	           0	       11151	     11163.2	  -0.1157
  6.7200	           0	       11027	     11105.8	  -0.7504
  6.7360	           0	       10923	     11048.7	  -1.2026
  6.7520	           0	       10713	     10991.9	  -2.6943
  6.7680	           0	       10936	     10935.4	   0.0062
  6.7840	           0	       10907	     10879.1	   0.2668
  6.8000	           0	       10777	     10823.2	  -0.4451
  6.8160	           0	       10680	     10767.6	  -0.8475
  6.8320	           0	       10552	     10712.2	  -1.5600
  6.8480	           0	       10667	     10657.2	   0.0949
  6.8640	           0	       10673	     10602.4	   0.6830
  6.8800	           0	       10352	     10548.0	  -1.9261
  6.8960	           0	       10382	     10493.8	  -1.0971
  6.9120	           0	       10352	     10439.9	  -0.8638
  6.9280	           0	       10355	     10386.3	  -0.3073
  6.9440	           0	       10420	     10332.9	   0.8529
  6.9600	           0	       10006	     10279.9	  -2.7381
  6.9760	           0	       10239	     10227.1	   0.1175
  6.9920	           0	       10083	     10174.6	  -0.9124
  7.0080	           0	        9801	     10122.4	  -3.2464
  7.0240	           0	       10009	     10070.4	  -0.6142
  7.0400	           0	        9913	     10018.8	  -1.0624
  7.0560	           0	        9951	      9967.4	  -0.1642
  7.0720	           0	        9732	      9916.2	  -1.8676
  7.0880	           0	        9689	      9865.4	  -1.7919
  7.1040	           0	        9699	      9814.8	  -1.1757
