f	m	t	
	-5.05109E-05	0.127495	
			
			
X in nm	Y Signal 	f	y-f
601.24	0.10744	0.097125826	0.010314174
601.28	0.10555	0.097123806	0.008426194
601.32	0.10718	0.097121786	0.010058214
601.36	0.10723	0.097119765	0.010110235
601.4	0.10458	0.097117745	0.007462255
601.44	0.10285	0.097115724	0.005734276
601.48	0.11115	0.097113704	0.014036296
601.52	0.1055	0.097111683	0.008388317
601.56	0.10469	0.097109663	0.007580337
601.6	0.10178	0.097107643	0.004672357
601.64	0.1083	0.097105622	0.011194378
601.68	0.10845	0.097103602	0.011346398
601.72	0.10362	0.097101581	0.006518419
601.76	0.10626	0.097099561	0.009160439
601.8	0.10382	0.09709754	0.00672246
601.84	0.10377	0.09709552	0.00667448
601.88	0.1083	0.0970935	0.0112065
601.92	0.10738	0.097091479	0.010288521
601.96	0.10733	0.097089459	0.010240541
602	0.11237	0.097087438	0.015282562
602.04	0.10835	0.097085418	0.011264582
602.08	0.11222	0.097083397	0.015136603
602.12	0.11013	0.097081377	0.013048623
602.16	0.10723	0.097079356	0.010150644
602.2	0.10652	0.097077336	0.009442664
602.24	0.10637	0.097075316	0.009294684
602.28	0.11105	0.097073295	0.013976705
602.32	0.10637	0.097071275	0.009298725
602.36	0.10815	0.097069254	0.011080746
602.4	0.10932	0.097067234	0.012252766
602.44	0.10464	0.097065213	0.007574787
602.48	0.10764	0.097063193	0.010576807
602.52	0.10555	0.097061173	0.008488827
602.56	0.1055	0.097059152	0.008440848
602.6	0.1056	0.097057132	0.008542868
602.64	0.10835	0.097055111	0.011294889
602.68	0.11482	0.097053091	0.017766909
602.72	0.10738	0.09705107	0.01032893
602.76	0.11008	0.09704905	0.01303095
602.8	0.10749	0.097047029	0.010442971
602.84	0.10759	0.097045009	0.010544991
602.88	0.10071	0.097042989	0.003667011
602.92	0.10458	0.097040968	0.007539032
602.96	0.11416	0.097038948	0.017121052
603	0.11416	0.097036927	0.017123073
603.04	0.111	0.097034907	0.013965093
603.08	0.1056	0.097032886	0.008567114
603.12	0.10555	0.097030866	0.008519134
603.16	0.10952	0.097028846	0.012491154
603.2	0.11304	0.097026825	0.016013175
603.24	0.11192	0.097024805	0.014895195
603.28	0.10448	0.097022784	0.007457216
603.32	0.10362	0.097020764	0.006599236
603.36	0.11273	0.097018743	0.015711257
