G11_pendel
06.09.2021
17:20:15
nichtlineares Pendel
stimulation_fq[Hz]: 0,411
timeline range  for cut and FFT datapoints: 0-120s
Chaos_Versuch

t(s) Ua(V) -dUa/dt(V) cutX(V) cutY(V) F(Hz) DFT-Ua(V) DFT-dUa/dt(V)
4,840E+0 2,774E+0 -3,534E-1 0,000E+0 0,000E+0 1,008E+0 NaN NaN
4,880E+0 2,735E+0 -3,550E-1 0,000E+0 0,000E+0 1,017E+0 NaN NaN
4,920E+0 2,697E+0 -3,446E-1 0,000E+0 0,000E+0 1,025E+0 NaN NaN
4,960E+0 2,660E+0 -3,322E-1 0,000E+0 0,000E+0 1,033E+0 NaN NaN
5,000E+0 2,624E+0 -3,261E-1 0,000E+0 0,000E+0 1,042E+0 NaN NaN
5,040E+0 2,589E+0 -3,151E-1 0,000E+0 0,000E+0 1,050E+0 NaN NaN
5,080E+0 2,556E+0 -2,953E-1 0,000E+0 0,000E+0 1,058E+0 NaN NaN
5,120E+0 2,524E+0 -2,800E-1 0,000E+0 0,000E+0 1,067E+0 NaN NaN
5,160E+0 2,494E+0 -2,691E-1 0,000E+0 0,000E+0 1,075E+0 NaN NaN
5,200E+0 2,465E+0 -2,493E-1 0,000E+0 0,000E+0 1,083E+0 NaN NaN
5,240E+0 2,439E+0 -2,284E-1 0,000E+0 0,000E+0 1,092E+0 NaN NaN
5,280E+0 2,414E+0 -2,161E-1 0,000E+0 0,000E+0 1,100E+0 NaN NaN
5,320E+0 2,391E+0 -1,996E-1 0,000E+0 0,000E+0 1,108E+0 NaN NaN
5,360E+0 2,370E+0 -1,764E-1 0,000E+0 0,000E+0 1,117E+0 NaN NaN
5,400E+0 2,351E+0 -1,628E-1 0,000E+0 0,000E+0 1,125E+0 NaN NaN
5,440E+0 2,334E+0 -1,487E-1 0,000E+0 0,000E+0 1,133E+0 NaN NaN
5,480E+0 2,318E+0 -1,257E-1 0,000E+0 0,000E+0 1,142E+0 NaN NaN
5,520E+0 2,305E+0 -1,110E-1 0,000E+0 0,000E+0 1,150E+0 NaN NaN
5,560E+0 2,293E+0 -9,904E-2 0,000E+0 0,000E+0 1,158E+0 NaN NaN
5,600E+0 2,283E+0 -7,725E-2 0,000E+0 0,000E+0 1,167E+0 NaN NaN
5,640E+0 2,275E+0 -6,302E-2 0,000E+0 0,000E+0 1,175E+0 NaN NaN
5,680E+0 2,268E+0 -5,287E-2 0,000E+0 0,000E+0 1,183E+0 NaN NaN
5,720E+0 2,263E+0 -3,262E-2 0,000E+0 0,000E+0 1,192E+0 NaN NaN
5,760E+0 2,260E+0 -1,940E-2 0,000E+0 0,000E+0 1,200E+0 NaN NaN
5,800E+0 2,258E+0 -1,063E-2 0,000E+0 0,000E+0 1,208E+0 NaN NaN
