x(A/Hz/V/nm),yai0(V),yai1(V),yai3(V),yai4(V),yext(V),yai4_max(V),lambda(nm),freq(THz),relFreq(THz),relx(A)
123.2284,0.1283,9.980773575210544e-06,-9.001922642479232e-05,0.0006345541023839,,,780.2463461860466,384.2279550111673,,
123.2415,0.1283,-5.101527575920861e-06,-0.0001051015275759,0.0009699282407515,,,780.246358372093,384.2279490102169,,
123.2523,0.1282,-1.7535791120390498e-05,-0.0001175357911203,0.0014166489044438,,,780.2463684186047,384.2279440628686,,
123.2632,0.1282,-3.008518673468241e-05,-0.0001300851867346,0.0017628762409482,,,780.2463785581396,384.2279390697116,,
123.2764,0.1281,-4.528261995566385e-05,-0.0001452826199556,0.0019977570521277,,,780.2463908372093,384.2279330229529,,
123.3001,0.1279,2.74310794884658e-05,-7.256892051153707e-05,0.0024808385085637,,0.0024808385085637,780.246412883721,384.22792216627295,29.0,123.3001
123.312,0.1282,1.3730363175618043e-05,-8.626963682438482e-05,0.0024221325731877,,,780.2464239534884,384.2279167150288,,
123.3219,0.1287,2.3322882598542094e-06,-9.766771174014864e-05,0.0024732931815724,,,780.2464331627907,384.2279121799603,,
123.3342,0.1289,-1.1828956332421424e-05,-0.0001118289563324,0.0022126139374442,,,780.2464446046512,384.22790654548135,,
123.3454,0.129,-2.4723748156291192e-05,-0.0001247237481562,0.0020573612923844,,,780.2464550232559,384.227901414899,,
123.357,0.129,-3.807906825958885e-05,-0.0001380790682595,0.0019001353385725,,,780.2464658139536,384.2278961010818,,
123.3676,0.1291,-5.028306766433066e-05,-0.0001502830676643,0.001647842656641,,,780.2464756744187,384.2278912453524,,
123.3806,0.1293,-6.525023674561203e-05,-0.0001652502367456,0.0012837101221965,,,780.2464877674419,384.2278852902127,,
123.392,0.1294,-7.837529270918187e-05,-0.0001783752927091,0.0010274708227608,,,780.2464983720931,384.2278800680134,,
123.4038,0.1293,8.039123047788588e-06,-0.0001919608769522,0.0007692582145727,,,780.2465093488372,384.22787466257927,,
123.4175,0.1293,-7.733970522470768e-06,-0.0002077339705224,0.0008016723898121,,,780.2465220930233,384.2278683867787,,
123.4278,0.1294,-1.959257371763473e-05,-0.0002195925737176,0.0006508596894446,,,780.2465316744186,384.2278636684764,,
123.4416,0.1297,-3.548079935774412e-05,-0.0002354807993577,0.000782780537496,,,780.2465445116279,384.2278573468674,,
123.4529,0.1294,-4.849072325149168e-05,-0.0002484907232514,0.0010270345652482,,,780.2465550232558,384.2278521704776,,
123.4636,0.1291,-6.080985472608352e-05,-0.000260809854726,0.0012742485561286,,,780.2465649767443,384.2278472689406,,
