x	Ch0	Ch1	Ch3	Ch4	f	Ch0_b	Ch1_b	Ch3_b	Ch4_b	f-4	Ch4_b1
134.6416	0.0825	0.0184	0.0153	0.3465	0.037099593	0.045400407	-0.018699593	-0.021799593	0.309400407	0.335326026	0.011173974
134.6618	0.0817	0.0181	0.015	0.3469	0.037112574	0.044587426	-0.019012574	-0.022112574	0.309787426	0.335418571	0.011481429
134.6822	0.081	0.0179	0.0148	0.347	0.037125683	0.043874317	-0.019225683	-0.022325683	0.309874317	0.335512031	0.011487969
134.7016	0.0806	0.0177	0.0146	0.3467	0.03713815	0.04346185	-0.01943815	-0.02253815	0.30956185	0.33560091	0.01109909
134.7217	0.0801	0.0174	0.0144	0.3466	0.037151067	0.042948933	-0.019751067	-0.022751067	0.309448933	0.335692996	0.010907004
134.7412	0.0797	0.0172	0.0142	0.3458	0.037163598	0.042536402	-0.019963598	-0.022963598	0.308636402	0.335782334	0.010017666
134.7625	0.0795	0.017	0.0139	0.3452	0.037177286	0.042322714	-0.020177286	-0.023277286	0.308022714	0.335879918	0.009320083
134.7831	0.0795	0.0168	0.0137	0.3448	0.037190524	0.042309476	-0.020390524	-0.023490524	0.307609476	0.335974294	0.008825706
134.8039	0.0796	0.0167	0.0136	0.3449	0.037203891	0.042396109	-0.020503891	-0.023603891	0.307696109	0.336069587	0.008830413
134.8238	0.0803	0.0165	0.0134	0.3453	0.037216679	0.043083321	-0.020716679	-0.023816679	0.308083321	0.336160757	0.009139243
134.8431	0.0815	0.0164	0.0132	0.3459	0.037229082	0.044270918	-0.020829082	-0.024029082	0.308670918	0.336249178	0.009650822
134.8647	0.0838	0.0164	0.0131	0.3464	0.037242963	0.046557037	-0.020842963	-0.024142963	0.309157037	0.336348137	0.010051863
134.8851	0.0894	0.0164	0.013	0.3472	0.037256072	0.052143928	-0.020856072	-0.024256072	0.309943928	0.336441597	0.010758403
134.9064	0.1041	0.0168	0.0128	0.3479	0.03726976	0.06683024	-0.02046976	-0.02446976	0.31063024	0.336539181	0.011360819
134.9272	0.145	0.0182	0.0127	0.3482	0.037283127	0.107716873	-0.019083127	-0.024583127	0.310916873	0.336634474	0.011565526
134.9453	0.2394	0.0215	0.0126	0.3485	0.037294758	0.202105242	-0.015794758	-0.024694758	0.311205242	0.336717397	0.011782603
134.967	0.1926	0.0197	0.0126	0.3485	0.037308703	0.155291297	-0.017608703	-0.024708703	0.311191297	0.336816814	0.011683186
134.9854	0.1256	0.0173	0.0125	0.3478	0.037320528	0.088279472	-0.020020528	-0.024820528	0.310479472	0.336901112	0.010898888
135.0069	0.1023	0.0164	0.0125	0.3469	0.037334344	0.064965656	-0.020934344	-0.024834344	0.309565656	0.336999612	0.009900388
135.0276	0.0942	0.0161	0.0124	0.3466	0.037347646	0.056852354	-0.021247646	-0.024947646	0.309252354	0.337094447	0.009505553
135.0492	0.0908	0.0159	0.0125	0.3465	0.037361527	0.053438473	-0.021461527	-0.024861527	0.309138473	0.337193405	0.009306595
135.0693	0.0897	0.0159	0.0125	0.3466	0.037374444	0.052325556	-0.021474444	-0.024874444	0.309225556	0.337285491	0.009314509
135.0909	0.0898	0.0159	0.0124	0.3467	0.037388325	0.052411675	-0.021488325	-0.024988325	0.309311675	0.337384449	0.009315551
135.1084	0.0907	0.016	0.0125	0.347	0.037399571	0.053300429	-0.021399571	-0.024899571	0.309600429	0.337464624	0.009535376
135.1287	0.093	0.0161	0.0125	0.3474	0.037412616	0.055587384	-0.021312616	-0.024912616	0.309987384	0.337557626	0.009842374
135.1494	0.096	0.0162	0.0125	0.348	0.037425918	0.058574082	-0.021225918	-0.024925918	0.310574082	0.337652461	0.010347539
135.1714	0.1005	0.0165	0.0126	0.3487	0.037440056	0.063059944	-0.020940056	-0.024840056	0.311259944	0.337753252	0.010946748
135.1902	0.1073	0.0168	0.0127	0.3491	0.037452137	0.069847863	-0.020652137	-0.024752137	0.311647863	0.337839382	0.011260618
135.2108	0.1164	0.0172	0.0128	0.3493	0.037465376	0.078934624	-0.020265376	-0.024665376	0.311834624	0.337933759	0.011366241
135.2305	0.13	0.0178	0.0129	0.3495	0.037478035	0.092521965	-0.019678035	-0.024578035	0.312021965	0.338024013	0.011475987
135.2513	0.1506	0.0186	0.013	0.3493	0.037491402	0.113108598	-0.018891402	-0.024491402	0.311808598	0.338119306	0.011180694
135.2716	0.1853	0.02	0.0131	0.349	0.037504447	0.147795553	-0.017504447	-0.024404447	0.311495553	0.338212308	0.010787692
135.2929	0.2564	0.0227	0.0133	0.3483	0.037518135	0.218881865	-0.014818135	-0.024218135	0.310781865	0.338309892	0.009990108
135.3136	0.3788	0.0272	0.0135	0.3479	0.037531438	0.341268562	-0.010331438	-0.024031438	0.310368562	0.338404727	0.009495273
135.3347	0.5227	0.0326	0.0137	0.348	0.037544997	0.485155003	-0.004944997	-0.023844997	0.310455003	0.338501395	0.009498605
135.3558	0.4445	0.03	0.0139	0.348	0.037558556	0.406941444	-0.007558556	-0.023658556	0.310441444	0.338598062	0.009401938
135.374	0.2974	0.0248	0.014	0.3479	0.037570252	0.259829748	-0.012770252	-0.023570252	0.310329748	0.338681444	0.009218556
135.3954	0.2159	0.0221	0.0141	0.348	0.037584004	0.178315996	-0.015484004	-0.023484004	0.310415996	0.338779486	0.009220514
135.4164	0.174	0.0208	0.0144	0.3486	0.037597499	0.136402501	-0.016797499	-0.023197499	0.311002501	0.338875695	0.009724305
135.4361	0.1549	0.0203	0.0146	0.3493	0.037610159	0.117289841	-0.017310159	-0.023010159	0.311689841	0.338965949	0.010334051
135.4577	0.1467	0.0203	0.0148	0.35	0.03762404	0.10907596	-0.01732404	-0.02282404	0.31237596	0.339064907	0.010935093
135.4763	0.1473	0.0205	0.015	0.3504	0.037635993	0.109664007	-0.017135993	-0.022635993	0.312764007	0.339150121	0.011249879
135.4953	0.1581	0.0212	0.0153	0.351	0.037648203	0.120451797	-0.016448203	-0.022348203	0.313351797	0.339237167	0.011762833
135.5153	0.1908	0.0226	0.0156	0.3513	0.037661055	0.153138945	-0.015061055	-0.022061055	0.313638945	0.339328795	0.011971205
135.5358	0.2916	0.0265	0.0159	0.3513	0.037674229	0.253925771	-0.011174229	-0.021774229	0.313625771	0.339422714	0.011877286
135.557	0.4269	0.0316	0.0162	0.3512	0.037687853	0.389212147	-0.006087853	-0.021487853	0.313512147	0.33951984	0.01168016
135.5794	0.2903	0.0271	0.0165	0.3509	0.037702248	0.252597752	-0.010602248	-0.021202248	0.313197752	0.339622463	0.011277537
135.5969	0.2018	0.0242	0.0168	0.3502	0.037713493	0.164086507	-0.013513493	-0.020913493	0.312486507	0.339702638	0.010497362
135.6181	0.1695	0.0233	0.0171	0.3496	0.037727117	0.131772883	-0.014427117	-0.020627117	0.311872883	0.339799763	0.009800237
135.6384	0.1613	0.0234	0.0174	0.3495	0.037740162	0.123559838	-0.014340162	-0.020340162	0.311759838	0.339892766	0.009607234
135.6584	0.1655	0.0239	0.0177	0.35	0.037753015	0.127746985	-0.013853015	-0.020053015	0.312246985	0.339984394	0.010015606
135.6789	0.1813	0.0248	0.0181	0.3506	0.037766189	0.143533811	-0.012966189	-0.019666189	0.312833811	0.340078312	0.010521688
135.701	0.2143	0.0263	0.0184	0.3515	0.037780391	0.176519609	-0.011480391	-0.019380391	0.313719609	0.340179561	0.011320439
135.7195	0.2229	0.027	0.0188	0.3526	0.037792279	0.185107721	-0.010792279	-0.018992279	0.314807721	0.340264317	0.012335683
135.7411	0.1849	0.026	0.0192	0.3533	0.03780616	0.14709384	-0.01180616	-0.01860616	0.31549384	0.340363276	0.012936724
135.7603	0.163	0.0256	0.0195	0.3537	0.037818499	0.125181501	-0.012218499	-0.018318499	0.315881501	0.340451238	0.013248762
135.7812	0.1525	0.0256	0.0199	0.3539	0.037831929	0.114668071	-0.012231929	-0.017931929	0.316068071	0.34054699	0.01335301
135.801	0.1483	0.0258	0.0203	0.354	0.037844653	0.110455347	-0.012044653	-0.017544653	0.316155347	0.340637701	0.013362299
135.8225	0.1481	0.0262	0.0207	0.3539	0.03785847	0.11024153	-0.01165847	-0.01715847	0.31604153	0.340736202	0.013163799
135.8423	0.1511	0.0267	0.0211	0.3535	0.037871194	0.113228806	-0.011171194	-0.016771194	0.315628806	0.340826913	0.012673087
135.8612	0.1577	0.0274	0.0215	0.353	0.03788334	0.11981666	-0.01048334	-0.01638334	0.31511666	0.340913502	0.012086498
135.8829	0.1711	0.0282	0.0219	0.3525	0.037897284	0.133202716	-0.009697284	-0.015997284	0.314602716	0.341012918	0.011487082
135.9014	0.1963	0.0295	0.0223	0.3524	0.037909173	0.158390827	-0.008409173	-0.015609173	0.314490827	0.341097674	0.011302326
135.9212	0.2507	0.0319	0.0227	0.3523	0.037921897	0.212778103	-0.006021897	-0.015221897	0.314378103	0.341188386	0.011111614
135.942	0.2531	0.0324	0.0231	0.3525	0.037935264	0.215164736	-0.005535264	-0.014835264	0.314564736	0.341283679	0.011216321
135.9616	0.2014	0.0309	0.0235	0.3529	0.037947859	0.163452141	-0.007047859	-0.014447859	0.314952141	0.341373474	0.011526526
135.9822	0.1743	0.0303	0.0239	0.3535	0.037961097	0.136338903	-0.007661097	-0.014061097	0.315538903	0.341467851	0.012032149
136.0031	0.1624	0.0304	0.0243	0.3542	0.037974528	0.124425472	-0.007574528	-0.013674528	0.316225472	0.341563602	0.012636398
136.0216	0.1569	0.0306	0.0247	0.3549	0.037986417	0.118913583	-0.007386417	-0.013286417	0.316913583	0.341648358	0.013251642
136.0415	0.1544	0.0309	0.0252	0.3554	0.037999205	0.116400795	-0.007099205	-0.012799205	0.317400795	0.341739528	0.013660472
136.0625	0.1534	0.0313	0.0255	0.3557	0.0380127	0.1153873	-0.0067127	-0.0125127	0.3176873	0.341835738	0.013864263
136.0832	0.154	0.0317	0.0259	0.3561	0.038026002	0.115973998	-0.006326002	-0.012126002	0.318073998	0.341930572	0.014169428
136.1039	0.1565	0.0322	0.0264	0.3561	0.038039305	0.118460695	-0.005839305	-0.011639305	0.318060695	0.342025407	0.014074593
136.1236	0.1636	0.0329	0.0268	0.3556	0.038051965	0.125548035	-0.005151965	-0.011251965	0.317548035	0.342115661	0.013484339
136.143	0.1784	0.0338	0.0272	0.355	0.038064432	0.140335568	-0.004264432	-0.010864432	0.316935568	0.34220454	0.01279546
136.1625	0.1748	0.0341	0.0276	0.3545	0.038076963	0.136723037	-0.003976963	-0.010476963	0.316423037	0.342293878	0.012206123
136.1865	0.1622	0.0341	0.0281	0.3541	0.038092386	0.124107614	-0.003992386	-0.009992386	0.316007614	0.342403831	0.011696169
136.2055	0.1573	0.0344	0.0285	0.3538	0.038104596	0.119195404	-0.003704596	-0.009604596	0.315695404	0.342490878	0.011309122
136.2259	0.1557	0.0347	0.029	0.3539	0.038117705	0.117582295	-0.003417705	-0.009117705	0.315782295	0.342584338	0.011315662
136.2468	0.1555	0.0351	0.0293	0.3542	0.038131136	0.117368864	-0.003031136	-0.008831136	0.316068864	0.34268009	0.01151991
136.2682	0.156	0.0355	0.0297	0.3549	0.038144888	0.117855112	-0.002644888	-0.008444888	0.316755112	0.342778131	0.012121869
136.2887	0.1563	0.0359	0.0301	0.3554	0.038158062	0.118141938	-0.002258062	-0.008058062	0.317241938	0.34287205	0.01252795
136.3075	0.1565	0.0363	0.0305	0.3561	0.038170143	0.118329857	-0.001870143	-0.007670143	0.317929857	0.342958181	0.01314182
