x	CH0	CH1	CH3	CH4	f-4	Ch4_b	a	b	f	CH0_b	CH1_b	CH3_b
141.2224	0.1712	0.0423	0.0359	0.3633	0.847850244	-0.484550244			0.037034495	0.134165505	0.005265505	0.326265505
141.2234	0.1712	0.0423	0.0359	0.3634	0.847856629	-0.484456629			0.037046898	0.134153102	0.005253102	0.326353102
141.2237	0.1711	0.0423	0.0359	0.3634	0.847858545	-0.484458545			0.0370593	0.1340407	0.0052407	0.3263407
141.2278	0.1712	0.0423	0.0359	0.3635	0.847884724	-0.484384724			0.037073245	0.134126755	0.005226755	0.326426755
141.2267	0.1711	0.0422	0.0359	0.3637	0.8478777	-0.4841777			0.037086162	0.134013838	0.005113838	0.326613838
141.2283	0.1711	0.0422	0.0359	0.3638	0.847887917	-0.484087917			0.037099593	0.134000407	0.005100407	0.326700407
141.2297	0.1714	0.0422	0.0359	0.3637	0.847896856	-0.484196856			0.037112574	0.134287426	0.005087426	0.326587426
141.2301	0.1714	0.0422	0.0359	0.3637	0.84789941	-0.48419941			0.037125683	0.134274317	0.005074317	0.326574317
141.2312	0.1715	0.0422	0.0359	0.3638	0.847906434	-0.484106434			0.03713815	0.13436185	0.00506185	0.32666185
141.2333	0.1717	0.0422	0.0358	0.3636	0.847919842	-0.484319842			0.037151067	0.134548933	0.005048933	0.326448933
141.2337	0.1717	0.0422	0.0359	0.3636	0.847922397	-0.484322397			0.037163598	0.134536402	0.005036402	0.326436402
141.236	0.1715	0.0422	0.0359	0.3637	0.847937082	-0.484237082			0.037177286	0.134322714	0.005022714	0.326522714
141.2369	0.1717	0.0422	0.0358	0.3637	0.847942829	-0.484242829			0.037190524	0.134509476	0.005009476	0.326509476
141.2376	0.1716	0.0422	0.0358	0.3637	0.847947299	-0.484247299			0.037203891	0.134396109	0.004996109	0.326496109
141.2394	0.1715	0.0422	0.0358	0.364	0.847958792	-0.483958792			0.037216679	0.134283321	0.004983321	0.326783321
141.2392	0.1713	0.0422	0.0358	0.3643	0.847957515	-0.483657515			0.037229082	0.134070918	0.004970918	0.327070918
141.2406	0.1711	0.0422	0.0358	0.3644	0.847966454	-0.483566454			0.037242963	0.133857037	0.004957037	0.327157037
141.2398	0.1711	0.0422	0.0359	0.3641	0.847961346	-0.483861346			0.037256072	0.133843928	0.004943928	0.326843928
141.2424	0.1713	0.0422	0.0358	0.3638	0.847977948	-0.484177948			0.03726976	0.13403024	0.00493024	0.32653024
141.2447	0.1713	0.0421	0.0358	0.3636	0.847992634	-0.484392634			0.037283127	0.134016873	0.004816873	0.326316873
141.2446	0.1717	0.0421	0.0358	0.3636	0.847991995	-0.484391995			0.037294758	0.134405242	0.004805242	0.326305242
141.2464	0.172	0.0421	0.0358	0.3636	0.848003488	-0.484403488			0.037308703	0.134691297	0.004791297	0.326291297
141.2481	0.1716	0.0421	0.0357	0.3637	0.848014343	-0.484314343			0.037320528	0.134279472	0.004779472	0.326379472
141.2486	0.1716	0.0421	0.0357	0.3641	0.848017536	-0.483917536			0.037334344	0.134265656	0.004765656	0.326765656
141.2518	0.1719	0.0421	0.0357	0.3641	0.848037968	-0.483937968			0.037347646	0.134552354	0.004752354	0.326752354
141.2515	0.1717	0.042	0.0357	0.3642	0.848036053	-0.483836053			0.037361527	0.134338473	0.004638473	0.326838473
141.2542	0.1722	0.042	0.0356	0.3641	0.848053293	-0.483953293			0.037374444	0.134825556	0.004625556	0.326725556
141.2546	0.1724	0.042	0.0356	0.3641	0.848055847	-0.483955847			0.037388325	0.135011675	0.004611675	0.326711675
141.2547	0.1722	0.0419	0.0356	0.3642	0.848056485	-0.483856485			0.037399571	0.134800429	0.004500429	0.326800429
141.2573	0.1724	0.0419	0.0355	0.3642	0.848073087	-0.483873087			0.037412616	0.134987384	0.004487384	0.326787384
141.2583	0.1724	0.0419	0.0355	0.3643	0.848079472	-0.483779472			0.037425918	0.134974082	0.004474082	0.326874082
141.2586	0.1725	0.0419	0.0355	0.3643	0.848081388	-0.483781388			0.037440056	0.135059944	0.004459944	0.326859944
141.2602	0.1727	0.0419	0.0354	0.3643	0.848091604	-0.483791604			0.037452137	0.135247863	0.004447863	0.326847863
141.2636	0.1727	0.0418	0.0355	0.3642	0.848113313	-0.483913313			0.037465376	0.135234624	0.004334624	0.326734624
141.2635	0.1727	0.0418	0.0354	0.3643	0.848112675	-0.483812675			0.037478035	0.135221965	0.004321965	0.326821965
141.265	0.1728	0.0418	0.0354	0.3642	0.848122253	-0.483922253			0.037491402	0.135308598	0.004308598	0.326708598
141.2641	0.1726	0.0418	0.0354	0.3645	0.848116506	-0.483616506			0.037504447	0.135095553	0.004295553	0.326995553
141.2652	0.1724	0.0418	0.0354	0.3644	0.84812353	-0.48372353			0.037518135	0.134881865	0.004281865	0.326881865
141.2652	0.1724	0.0418	0.0354	0.3645	0.84812353	-0.48362353			0.037531438	0.134868562	0.004268562	0.326968562
141.2678	0.1726	0.0418	0.0354	0.3644	0.848140131	-0.483740131			0.037544997	0.135055003	0.004255003	0.326855003
141.2683	0.1726	0.0418	0.0354	0.3643	0.848143324	-0.483843324			0.037558556	0.135041444	0.004241444	0.326741444
141.2694	0.1729	0.0418	0.0353	0.3643	0.848150347	-0.483850347			0.037570252	0.135329748	0.004229748	0.326729748
141.2708	0.1732	0.0418	0.0353	0.3644	0.848159287	-0.483759287			0.037584004	0.135615996	0.004215996	0.326815996
