Hg-high_einhuellende_0.dat
05/10/2021
13:29
M1: 60um  Speed 1um/s  filter: 129Hz
position_mm  datamess datacalib
40.3059649390 0.0256044958 0.2570742369
40.3059849390 0.0256131776 0.2571499348
40.3060049390 0.0256218947 0.2572253048
40.3060249390 0.0256306399 0.2573002279
40.3060449390 0.0256394055 0.2573747337
40.3060649390 0.0256481804 0.2574487031
40.3060849390 0.0256569590 0.2575221360
40.3061049390 0.0256657340 0.2575949728
40.3061249390 0.0256744977 0.2576671541
40.3061449390 0.0256832428 0.2577386200
40.3061649390 0.0256919600 0.2578093410
40.3061849390 0.0257006437 0.2578792572
40.3062049390 0.0257092863 0.2579483390
40.3062249390 0.0257178806 0.2580165267
40.3062449390 0.0257264189 0.2580837905
40.3062649390 0.0257348958 0.2581500411
40.3062849390 0.0257433020 0.2582152784
40.3063049390 0.0257516317 0.2582794726
40.3063249390 0.0257598795 0.2583425343
40.3063449390 0.0257680379 0.2584044337
40.3063649390 0.0257761013 0.2584651411
40.3063849390 0.0257840641 0.2585246265
40.3064049390 0.0257919170 0.2585828304
40.3064249390 0.0257996563 0.2586397231
40.3064449390 0.0258072764 0.2586952448
40.3064649390 0.0258147717 0.2587493956
40.3064849390 0.0258221366 0.2588021159
40.3065049390 0.0258293655 0.2588533759
40.3065249390 0.0258364528 0.2589031458
40.3065449390 0.0258433949 0.2589513958
40.3065649390 0.0258501861 0.2589980662
40.3065849390 0.0258568227 0.2590431571
40.3066049390 0.0258632973 0.2590866089
40.3066249390 0.0258696098 0.2591284513
40.3066449390 0.0258757528 0.2591685653
40.3066649390 0.0258817244 0.2592070103
40.3066849390 0.0258875191 0.2592436969
40.3067049390 0.0258931369 0.2592786252
40.3067249390 0.0258985702 0.2593117654
40.3067449390 0.0259038173 0.2593431175
40.3067649390 0.0259088743 0.2593726218
40.3067849390 0.0259137414 0.2594002783
40.3068049390 0.0259184130 0.2594260871
40.3068249390 0.0259228889 0.2594499588
