Lenght	Intensity	Error
8.1308225156	0.8431397676	0.5095599294
8.1311410156	0.6478860974	0.4904376268
8.1314480156	0.407448113	0.5048907995
8.1317630156	0.0931307226	0.5060483217
8.1320770156	-0.1523623765	0.4973582923
8.1323945156	-0.321719557	0.500138998
8.1327185156	-0.3240212798	0.502109766
8.1330445156	-0.1909016222	0.4975702465
8.1333750156	0.0641146377	0.4977549314
8.1337015156	0.3717982173	0.5010973215
8.1340240156	0.607675612	0.4997599721
8.1343460156	0.8040803671	0.4970985353
8.1346625156	0.9160358906	0.5030834675
8.1349730156	0.942574501	0.4999301136
8.1353150156	0.7429322004	0.4838804007
8.1356120156	0.7127850652	0.4998418987
8.1359570156	0.1444187462	0.5002928376
8.1362920156	-0.1350176185	0.5021210909
8.1366060156	-0.2584812045	0.5017322898
8.1369365156	-0.3496637344	0.4995235205
8.1372775156	-0.2406244427	0.4970524311
8.1376130156	-0.0773008764	0.4917329848
8.1379325156	0.1826944649	0.4985355139
8.1382580156	0.4919997752	0.4987254441
8.1385820156	0.7262591124	0.4930417538
8.1389090156	0.8814138174	0.494341433
8.1392315156	0.920535624	0.4962878227
8.1395385156	0.8365954757	0.4950357676
8.1398485156	0.6515691876	0.4956409931
8.1401620156	0.3648714125	0.4942977726
8.1404730156	0.0725374445	0.4952642918
8.1407860156	-0.1767748445	0.4974384904
8.1411015156	-0.3227004409	0.4934727848
8.1414180156	-0.3317716718	0.4936965108
8.1417275156	-0.190564543	0.4967674017
8.1420440156	0.0545635484	0.4953106046
8.1423590156	0.3462377489	0.4945138395
8.1426685156	0.6125005484	0.4941567481
8.1429740156	0.8185566664	0.4924864769
8.1432770156	0.9174028635	0.4957919717
8.1435870156	0.8913500309	0.4964436591
8.1438925156	0.7494750023	0.4946037233
8.1441935156	0.5185875297	0.4974999428
