angel	 rel signal 	s (std. deviation)	angle ber
63.28	0.97169	0.00078	42.16
63.29	0.96038	0.00056	42.17
63.3	0.94777	0.00082	42.18
63.31	0.93302	0.00066	42.19
63.32	0.91611	0.00077	42.2
63.33	0.89589	0.00061	42.21
63.34	0.86062	0.00079	42.22
63.35	0.75059	0.00122	42.23
63.36	0.16616	0.01051	42.24
63.37	0.03551	0.00252	42.25
63.38	0.03592	0.00318	42.26
63.39	0.03754	0.00488	42.27
63.4	0.04265	0.00955	42.28
63.41	0.04519	0.01056	42.29
63.42	0.04618	0.01029	42.3
63.43	0.04605	0.01002	42.31
63.44	0.04731	0.00883	42.32
63.45	0.04926	0.00909	42.33
63.46	0.05057	0.00795	42.34
63.47	0.05066	0.0072	42.35
63.48	0.0498	0.00697	42.36
63.49	0.0479	0.00472	42.37
63.5	0.04424	0.00536	42.38
63.51	0.07951	0.00453	42.39
63.52	0.7997	0.00078	42.4
63.53	0.8693	0.00083	42.41
63.54	0.89838	0.00083	42.42
63.55	0.91928	0.00092	42.43
63.56	0.93718	0.00101	42.44
63.57	0.95233	0.00089	42.45
63.58	0.96391	0.00057	42.46
63.59	0.97467	0.00085	42.47
63.6	0.98141	0.00077	42.48
63.61	0.98607	0.00083	42.49
63.62	0.98869	0.00083	42.5
63.63	0.98684	0.00077	42.51
63.64	0.98187	0.00077	42.52
63.65	0.97359	0.00104	42.53
63.66	0.96441	0.00083	42.54
63.67	0.95342	0.0006	42.55
63.68	0.93949	0.00064	42.56
63.69	0.92479	0.00069	42.57
63.7	0.90584	0.00079	42.58
63.71	0.8816	0.00064	42.59
63.72	0.82164	0.00099	42.6
63.73	0.34276	0.00392	42.61
63.74	0.03691	0.00484	42.62
63.75	0.03659	0.0044	42.63
63.76	0.03669	0.00453	42.64
63.77	0.03682	0.00478	42.65
63.78	0.03714	0.00494	42.66
63.79	0.03727	0.00418	42.67
63.8	0.04306	0.00495	42.68
63.81	0.04338	0.00498	42.69
63.82	0.04374	0.00476	42.7
63.83	0.04469	0.00495	42.71
63.84	0.04528	0.00501	42.72
63.85	0.04464	0.00517	42.73
63.86	0.04464	0.00501	42.74
63.87	0.04532	0.00528	42.75
63.88	0.04492	0.00518	42.76
63.89	0.77103	0.00085	42.77
63.9	0.85999	0.00069	42.78
63.91	0.89164	0.00063	42.79
63.92	0.91729	0.00088	42.8
63.93	0.93289	0.00095	42.81
63.94	0.94632	0.00073	42.82
63.95	0.95799	0.00053	42.83
63.96	0.96848	0.00067	42.84
63.97	0.97761	0.00077	42.85
63.98	0.98376	0.00067	42.86
63.99	0.98716	0.00058	42.87
64	0.9886	0.00099	42.88
64.01	0.9844	0.00087	42.89
64.02	0.97811	0.00076	42.9
64.03	0.9692	0.00082	42.91
64.04	0.95826	0.00056	42.92
64.05	0.94623	0.00078	42.93
64.06	0.93302	0.00092	42.94
64.07	0.91421	0.00067	42.95
64.08	0.88721	0.00079	42.96
64.09	0.84588	0.00061	42.97
64.1	0.69284	0.00283	42.98
64.11	0.02633	0.00583	42.99
64.12	0.02561	0.00664	43
64.13	0.00932	0.00834	43.01
64.14	0.01715	0.00942	43.02
64.15	0.00507	0.00627	43.03
64.16	0.0029	0.00356	43.04
64.17	0.00191	0.00278	43.05
64.18	0.0025	0.00222	43.06
64.19	0.00204	0.00271	43.07
64.2	0.00204	0.00275	43.08
64.21	0.00013	0.00461	43.09
64.22	0.00231	0.00247	43.1
64.23	0.00236	0.00284	43.11
64.24	0.00159	0.00405	43.12
64.25	0.00117	0.00574	43.13
64.26	0.74869	0.00163	43.14
64.27	0.85646	0.00054	43.15
64.28	0.89309	0.00065	43.16
64.29	0.91982	0.00094	43.17
64.3	0.93646	0.00077	43.18
64.31	0.9512	0.00093	43.19
64.32	0.96301	0.0007	43.2
64.33	0.97169	0.0006	43.21
64.34	0.97893	0.00078	43.22
