G11_shinriki
06.09.2021
19:28:22
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

1,526E+0 1,765E-2 1,643E-1 0,000E+0 0,000E+0 4,655E+3 1,587E-10
1,526E+0 1,765E-2 1,640E-1 0,000E+0 0,000E+0 4,685E+3 9,244E-11
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 4,715E+3 9,370E-11
1,526E+0 1,797E-2 1,643E-1 0,000E+0 0,000E+0 4,745E+3 8,329E-11
1,526E+0 1,765E-2 1,640E-1 0,000E+0 0,000E+0 4,775E+3 6,182E-11
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 4,805E+3 1,019E-10
1,526E+0 1,781E-2 1,646E-1 0,000E+0 0,000E+0 4,835E+3 6,749E-11
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 4,865E+3 6,771E-11
1,526E+0 1,765E-2 1,646E-1 0,000E+0 0,000E+0 4,895E+3 8,847E-11
1,526E+0 1,781E-2 1,645E-1 0,000E+0 0,000E+0 4,925E+3 1,063E-10
1,526E+0 1,797E-2 1,638E-1 0,000E+0 0,000E+0 4,955E+3 9,315E-11
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 4,985E+3 1,113E-10
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 5,015E+3 1,035E-10
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 5,045E+3 8,063E-11
1,526E+0 1,765E-2 1,641E-1 0,000E+0 0,000E+0 5,075E+3 9,457E-11
1,526E+0 1,781E-2 1,643E-1 0,000E+0 0,000E+0 5,105E+3 9,537E-11
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 5,135E+3 1,183E-10
1,526E+0 1,765E-2 1,640E-1 0,000E+0 0,000E+0 5,165E+3 1,477E-10
1,526E+0 1,765E-2 1,640E-1 0,000E+0 0,000E+0 5,195E+3 8,981E-11
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 5,225E+3 8,141E-11
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 5,255E+3 9,895E-11
1,526E+0 1,765E-2 1,645E-1 0,000E+0 0,000E+0 5,285E+3 6,825E-11
1,526E+0 1,748E-2 1,643E-1 0,000E+0 0,000E+0 5,315E+3 1,019E-10
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 5,345E+3 1,011E-10
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 5,375E+3 6,745E-11
1,526E+0 1,748E-2 1,641E-1 0,000E+0 0,000E+0 5,405E+3 6,913E-11
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 5,435E+3 1,058E-10
1,526E+0 1,765E-2 1,638E-1 0,000E+0 0,000E+0 5,465E+3 1,004E-10
1,526E+0 1,748E-2 1,641E-1 0,000E+0 0,000E+0 5,495E+3 1,333E-10
1,526E+0 1,765E-2 1,640E-1 0,000E+0 0,000E+0 5,526E+3 9,296E-11
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 5,556E+3 1,393E-10
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 5,586E+3 1,785E-10
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 5,616E+3 1,335E-10
1,526E+0 1,781E-2 1,643E-1 0,000E+0 0,000E+0 5,646E+3 9,099E-11
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 5,676E+3 1,048E-10
1,526E+0 1,765E-2 1,641E-1 0,000E+0 0,000E+0 5,706E+3 8,524E-11
1,526E+0 1,732E-2 1,640E-1 0,000E+0 0,000E+0 5,736E+3 9,733E-11
1,526E+0 1,781E-2 1,638E-1 0,000E+0 0,000E+0 5,766E+3 1,086E-10
1,526E+0 1,765E-2 1,643E-1 0,000E+0 0,000E+0 5,796E+3 6,497E-11
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 5,826E+3 9,476E-11
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 5,856E+3 1,075E-10
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 5,886E+3 9,736E-11
