G11_shinriki
06.09.2021
19:42:12
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

-1,165E-2 1,886E-1 -1,353E-1 0,000E+0 0,000E+0 4,535E+3 2,554E-7
2,010E-3 1,949E-1 -1,300E-1 0,000E+0 0,000E+0 4,565E+3 1,966E-7
1,699E-2 2,007E-1 -1,252E-1 0,000E+0 0,000E+0 4,595E+3 1,582E-7
3,196E-2 2,063E-1 -1,198E-1 0,000E+0 0,000E+0 4,625E+3 1,537E-7
4,793E-2 2,117E-1 -1,152E-1 0,000E+0 0,000E+0 4,655E+3 1,560E-7
6,406E-2 2,171E-1 -1,101E-1 0,000E+0 0,000E+0 4,685E+3 1,968E-7
8,085E-2 2,217E-1 -1,045E-1 0,000E+0 0,000E+0 4,715E+3 1,289E-7
9,846E-2 2,267E-1 -9,888E-2 0,000E+0 0,000E+0 4,745E+3 8,717E-8
1,161E-1 2,309E-1 -9,312E-2 0,000E+0 0,000E+0 4,775E+3 8,999E-8
1,348E-1 2,356E-1 -8,785E-2 0,000E+0 0,000E+0 4,805E+3 1,210E-7
1,536E-1 2,392E-1 -8,209E-2 0,000E+0 0,000E+0 4,835E+3 1,322E-7
1,732E-1 2,430E-1 -7,633E-2 0,000E+0 0,000E+0 4,865E+3 9,850E-8
1,929E-1 2,464E-1 -7,057E-2 0,000E+0 0,000E+0 4,895E+3 9,529E-8
2,132E-1 2,499E-1 -6,514E-2 0,000E+0 0,000E+0 4,925E+3 8,609E-8
2,341E-1 2,527E-1 -5,856E-2 0,000E+0 0,000E+0 4,955E+3 8,365E-8
2,555E-1 2,556E-1 -5,263E-2 0,000E+0 0,000E+0 4,985E+3 8,783E-8
2,770E-1 2,579E-1 -4,687E-2 0,000E+0 0,000E+0 5,015E+3 8,370E-8
2,991E-1 2,606E-1 -4,095E-2 0,000E+0 0,000E+0 5,045E+3 4,914E-8
3,220E-1 2,625E-1 -3,486E-2 0,000E+0 0,000E+0 5,075E+3 4,421E-8
3,447E-1 2,645E-1 -2,844E-2 0,000E+0 0,000E+0 5,105E+3 5,072E-8
3,675E-1 2,665E-1 -2,284E-2 0,000E+0 0,000E+0 5,135E+3 7,053E-8
3,914E-1 2,676E-1 -1,675E-2 0,000E+0 0,000E+0 5,165E+3 9,834E-8
4,151E-1 2,691E-1 -1,066E-2 0,000E+0 0,000E+0 5,195E+3 8,374E-8
4,396E-1 2,701E-1 -4,244E-3 0,000E+0 0,000E+0 5,225E+3 6,600E-8
4,640E-1 2,709E-1 1,517E-3 0,000E+0 0,000E+0 5,255E+3 4,157E-8
4,892E-1 2,714E-1 7,277E-3 0,000E+0 0,000E+0 5,285E+3 4,463E-8
5,144E-1 2,721E-1 1,370E-2 0,000E+0 0,000E+0 5,315E+3 4,233E-8
5,395E-1 2,723E-1 1,979E-2 0,000E+0 0,000E+0 5,345E+3 4,543E-8
5,649E-1 2,724E-1 2,604E-2 0,000E+0 0,000E+0 5,375E+3 3,145E-8
5,914E-1 2,721E-1 3,229E-2 0,000E+0 0,000E+0 5,405E+3 4,458E-8
6,179E-1 2,719E-1 3,789E-2 0,000E+0 0,000E+0 5,435E+3 3,155E-8
6,445E-1 2,716E-1 4,349E-2 0,000E+0 0,000E+0 5,465E+3 3,321E-8
6,710E-1 2,708E-1 4,941E-2 0,000E+0 0,000E+0 5,495E+3 2,812E-8
6,982E-1 2,700E-1 5,517E-2 0,000E+0 0,000E+0 5,526E+3 2,709E-8
7,252E-1 2,691E-1 6,126E-2 0,000E+0 0,000E+0 5,556E+3 2,408E-8
7,522E-1 2,681E-1 6,735E-2 0,000E+0 0,000E+0 5,586E+3 2,105E-8
7,797E-1 2,665E-1 7,311E-2 0,000E+0 0,000E+0 5,616E+3 3,230E-8
8,073E-1 2,655E-1 7,821E-2 0,000E+0 0,000E+0 5,646E+3 2,357E-8
8,353E-1 2,637E-1 8,430E-2 0,000E+0 0,000E+0 5,676E+3 3,034E-8
8,634E-1 2,622E-1 8,973E-2 0,000E+0 0,000E+0 5,706E+3 2,463E-8
8,919E-1 2,604E-1 9,533E-2 0,000E+0 0,000E+0 5,736E+3 2,095E-8
9,207E-1 2,583E-1 1,009E-1 0,000E+0 0,000E+0 5,766E+3 2,249E-8
9,494E-1 2,565E-1 1,062E-1 0,000E+0 0,000E+0 5,796E+3 2,965E-8
9,780E-1 2,545E-1 1,116E-1 0,000E+0 0,000E+0 5,826E+3 2,015E-8
1,007E+0 2,520E-1 1,166E-1 0,000E+0 0,000E+0 5,856E+3 1,415E-8
1,035E+0 2,497E-1 1,218E-1 0,000E+0 0,000E+0 5,886E+3 2,175E-8
1,064E+0 2,472E-1 1,273E-1 0,000E+0 0,000E+0 5,916E+3 1,989E-8
1,093E+0 2,449E-1 1,320E-1 0,000E+0 0,000E+0 5,946E+3 1,153E-8
1,122E+0 2,423E-1 1,366E-1 0,000E+0 0,000E+0 5,976E+3 1,306E-8
1,151E+0 2,397E-1 1,419E-1 0,000E+0 0,000E+0 6,006E+3 1,804E-8
1,180E+0 2,369E-1 1,468E-1 0,000E+0 0,000E+0 6,036E+3 1,199E-8
1,210E+0 2,342E-1 1,516E-1 0,000E+0 0,000E+0 6,066E+3 7,813E-9
1,239E+0 2,316E-1 1,562E-1 0,000E+0 0,000E+0 6,096E+3 8,251E-9
1,269E+0 2,286E-1 1,610E-1 0,000E+0 0,000E+0 6,126E+3 9,005E-9
1,298E+0 2,257E-1 1,654E-1 0,000E+0 0,000E+0 6,156E+3 9,019E-9
1,328E+0 2,227E-1 1,699E-1 0,000E+0 0,000E+0 6,186E+3 9,421E-9
1,358E+0 2,199E-1 1,742E-1 0,000E+0 0,000E+0 6,216E+3 8,817E-9
